PM2_5,NO2,CO,SO2,O3,AQI
106.08,49.15,2.41,10.52,24.02,185.0
65.0,18.55,0.92,7.99,74.49,141.0
65.1,13.74,0.36,31.95,58.26,113.0
33.28,32.4,1.11,8.91,30.15,88.0
27.0,15.67,0.41,13.33,27.15,74.0
46.69,29.13,0.72,8.71,69.31,96.0
67.93,44.48,1.13,16.06,42.01,163.0
9.28,7.85,0.92,8.12,12.29,57.0
60.2,16.7,1.12,7.05,29.88,137.0
52.53,2.57,1.01,4.48,45.44,95.0
73.51,57.06,0.83,9.96,30.21,150.0
84.1,17.06,0.53,9.45,8.15,256.0
66.1,40.94,0.08,10.89,38.79,123.0
371.42,82.63,2.92,16.26,26.54,537.0
30.91,16.84,0.89,11.02,24.77,71.0
103.77,55.47,1.29,20.72,40.14,239.0
82.39,46.04,1.18,18.55,43.19,205.0
56.65,60.92,0.47,34.23,40.88,117.0
23.22,39.56,0.89,10.33,21.33,86.0
37.27,32.37,0.46,5.1,28.47,84.0
32.82,16.81,0.48,5.56,16.96,105.0
10.89,10.62,0.71,6.13,30.74,58.0
39.68,20.38,0.0,5.73,29.35,99.0
39.41,28.53,0.81,5.86,28.72,108.0
97.27,34.18,1.0,15.01,51.96,238.0
66.51,33.99,0.74,13.53,51.26,127.0
12.72,26.93,0.19,9.91,25.02,72.0
56.3,36.66,0.73,6.89,26.83,119.0
40.41,13.66,0.61,6.38,83.29,138.0
32.12,25.55,0.48,11.55,42.01,110.0
75.73,24.45,0.27,11.96,36.81,180.0
48.99,37.26,0.69,22.76,39.78,120.0
32.39,43.73,0.68,4.7,21.36,100.0
88.14,19.56,0.61,12.92,34.67,275.0
18.39,26.95,0.73,8.99,37.82,60.0
31.91,28.95,0.58,6.47,47.6,83.0
303.41,63.92,1.8,18.58,68.75,462.0
66.93,68.56,1.34,18.09,28.29,122.0
58.57,9.91,0.93,7.02,74.69,148.0
31.28,30.03,0.9,5.97,29.32,94.0
45.79,11.14,0.93,11.32,14.29,102.0
39.68,25.48,0.45,6.81,21.89,68.0
64.04,48.57,0.88,13.82,31.67,115.0
52.69,14.44,0.59,16.81,19.03,92.0
76.86,23.54,0.98,4.77,105.22,148.0
96.6,48.72,1.32,23.23,50.84,269.0
32.21,19.91,0.72,11.08,9.32,66.0
29.63,20.11,0.44,8.5,29.95,66.0
69.29,32.8,0.55,3.7,37.8,153.0
72.89,23.94,1.18,10.66,92.13,127.0
67.56,35.21,0.54,25.31,55.35,125.0
28.44,31.94,0.88,10.69,26.96,109.0
79.92,19.92,0.9,23.63,43.53,188.0
111.02,67.76,1.48,13.02,34.49,277.0
34.57,26.2,0.65,6.7,22.0,86.0
62.42,44.76,0.79,5.44,28.58,129.0
20.19,20.73,0.27,7.96,12.04,37.0
141.81,50.67,1.54,17.61,38.64,303.0
43.89,28.8,0.84,4.08,25.09,114.0
16.97,27.16,0.31,7.29,10.2,41.0
116.99,58.43,0.44,12.91,26.84,256.0
43.56,55.23,1.31,7.95,42.81,82.0
43.1,21.71,0.67,24.72,42.13,88.0
57.56,38.74,0.84,8.04,79.93,109.0
76.22,59.54,1.28,9.27,21.67,194.0
57.87,45.49,0.89,11.32,45.92,108.0
18.57,9.97,0.76,14.66,22.53,49.0
17.42,18.87,0.21,5.04,28.83,69.0
42.45,14.32,0.81,15.71,37.44,90.0
52.95,13.09,0.63,6.56,26.89,184.0
48.66,8.57,1.26,6.14,20.8,200.0
49.6,44.57,0.58,8.36,32.27,112.0
23.68,14.63,0.53,8.61,29.24,67.0
31.02,25.0,0.82,5.39,29.69,95.0
79.98,49.55,0.14,13.58,79.71,170.0
9.35,23.46,0.41,11.06,21.44,77.0
36.96,34.75,0.62,10.53,19.03,101.0
35.67,25.01,0.5,4.46,24.66,75.0
42.25,15.38,0.63,3.94,60.08,86.0
42.83,32.38,1.03,11.59,28.54,99.0
29.75,5.64,0.55,8.67,21.21,68.0
57.67,15.11,0.59,3.48,16.48,78.0
96.57,57.77,1.1,23.81,39.75,217.0
124.26,34.37,1.13,7.04,16.89,256.0
23.61,25.41,0.5,5.62,23.09,59.0
84.69,50.97,1.41,25.77,46.36,175.0
13.53,19.95,0.31,6.19,15.24,33.0
56.5,48.32,0.48,13.82,21.94,128.0
33.5,21.75,0.56,11.56,15.12,115.0
14.57,12.68,0.39,5.29,21.46,50.0
264.63,66.58,2.75,16.74,42.51,431.0
190.41,44.32,1.43,13.17,39.23,385.0
15.29,47.47,0.1,6.85,20.62,56.0
55.76,53.14,1.25,4.99,35.61,112.0
31.28,27.38,0.46,7.11,53.76,93.0
18.38,4.91,0.0,14.3,27.51,47.0
14.49,12.53,0.17,5.98,28.55,58.0
176.49,94.33,2.22,19.24,35.41,338.0
15.02,25.06,0.47,8.55,23.3,41.0
54.3,31.76,1.3,4.77,32.83,146.0
21.27,18.26,0.11,7.85,41.95,95.0
26.6,14.56,0.44,11.59,50.51,147.0
19.48,23.76,0.74,11.35,12.0,82.0
34.14,27.74,0.43,4.3,25.09,74.0
68.45,62.26,1.02,8.17,39.55,138.0
34.41,25.38,1.07,10.8,21.99,77.0
57.73,35.92,0.78,16.59,58.87,148.0
71.17,52.98,0.74,9.29,34.25,137.0
48.76,27.79,0.0,6.47,14.1,112.0
31.04,14.17,0.36,1.6,37.01,70.0
98.07,48.05,1.37,11.02,47.07,243.0
15.93,20.53,0.43,16.53,42.92,53.0
63.57,35.15,6.57,10.48,35.18,293.0
104.65,69.8,2.09,11.59,33.36,274.0
11.98,42.12,0.03,6.74,22.95,47.0
91.89,53.58,1.31,13.74,34.36,207.0
144.12,34.71,11.45,5.93,31.61,317.0
39.99,22.65,0.86,11.89,45.4,104.0
16.73,25.98,0.32,8.63,10.75,76.0
